Run,TP,FP,FN,TN,Loss,Accuracy,Precision,Recall
1,6314,3170,3425,7789,0.100050144,0.681370181,0.665752847,0.648321183
2,6920,3006,2819,7953,0.089947484,0.718571843,0.697158976,0.710545231
3,6910,3020,2829,7939,0.089864589,0.71741231,0.695871098,0.709518431
4,7030,2985,2709,7974,0.08866398,0.724900957,0.701947079,0.721840025
5,7105,2972,2634,7987,0.087365367,0.729152575,0.705070954,0.729541021
6,7126,2902,2613,8057,0.086169116,0.733549135,0.710610291,0.7316973
7,7241,2841,2498,8118,0.082726277,0.742052372,0.718210672,0.743505493
8,7343,2768,2396,8191,0.081293896,0.750507295,0.72623875,0.753978848
9,7463,2866,2276,8093,0.08087001,0.7515702,0.722528802,0.766300442
10,7476,2813,2263,8146,0.080450401,0.754758914,0.726601225,0.767635281
11,7447,2778,2292,8181,0.080475651,0.755048797,0.728312958,0.764657562
12,7433,2766,2306,8193,0.080174468,0.754952169,0.728796941,0.763220043
13,7476,2748,2263,8211,0.079072118,0.757899314,0.731220657,0.767635281
14,7473,2718,2266,8241,0.078588709,0.759203788,0.733294083,0.767327241
15,7499,2724,2240,8235,0.078786902,0.760170065,0.733542013,0.76999692
16,7528,2700,2211,8259,0.078279227,0.762730699,0.736018772,0.772974638
17,7491,2728,2248,8231,0.078727379,0.759590299,0.733046286,0.76917548
18,7528,2671,2211,8288,0.077600226,0.7641318,0.73811158,0.772974638
19,7599,2747,2140,8212,0.077618189,0.763890231,0.734486758,0.780264914
20,7573,2612,2166,8347,0.076407015,0.76915644,0.743544428,0.777595236
21,7606,2644,2133,8315,0.076610245,0.769204754,0.74204878,0.780983674
22,7609,2655,2130,8304,0.076416276,0.768818243,0.741328917,0.781291714
23,7541,2570,2198,8389,0.076036192,0.769639579,0.745821383,0.774309477
24,7518,2619,2221,8340,0.076302744,0.766160982,0.741639538,0.771947839
25,7575,2578,2164,8381,0.076033227,0.770895739,0.746084901,0.777800596
26,7575,2552,2164,8407,0.075529039,0.772151899,0.748000395,0.777800596
27,7536,2564,2203,8395,0.075381555,0.769687893,0.746138614,0.773796078
28,7611,2575,2128,8384,0.075175248,0.772779979,0.747202042,0.781497074
29,7574,2549,2165,8410,0.075167924,0.772248526,0.748197175,0.777697916
30,7651,2467,2088,8492,0.073459908,0.779930428,0.75617711,0.785604271
31,7621,2506,2118,8453,0.074497081,0.776596773,0.752542708,0.782523873
32,7607,2485,2132,8474,0.074085884,0.77693497,0.753765359,0.781086354
33,7694,2427,2045,8532,0.072765417,0.783940477,0.760201561,0.790019509
34,7704,2428,2035,8531,0.072413765,0.784375302,0.760363206,0.791046309
35,7692,2408,2047,8551,0.072587818,0.784761813,0.761584158,0.789814149
36,7725,2475,2014,8484,0.072407216,0.783119142,0.757352941,0.793202588
37,7665,2512,2074,8447,0.073700838,0.778432699,0.75316891,0.787041791
38,7613,2429,2126,8530,0.073450424,0.779930428,0.758115913,0.781702434
39,7622,2445,2117,8514,0.073284268,0.779592231,0.757127247,0.782626553
40,7717,2450,2022,8509,0.071823113,0.783940477,0.759024294,0.792381148
41,7742,2464,1997,8495,0.071647502,0.78447193,0.758573388,0.794948147
42,7703,2440,2036,8519,0.071228601,0.783747222,0.759440008,0.790943629
43,7632,2391,2107,8568,0.072744526,0.782684317,0.761448668,0.783653353
44,7721,2418,2018,8541,0.07214766,0.785679776,0.761514942,0.792791868
45,7647,2389,2092,8570,0.072028965,0.783505653,0.761956955,0.785193552
46,7671,2435,2068,8524,0.072284311,0.782442748,0.759054027,0.78765787
47,7737,2446,2002,8513,0.071321689,0.78510001,0.759795738,0.794434747
48,7786,2386,1953,8573,0.070454597,0.790366219,0.765434526,0.799466064
49,7698,2389,2041,8570,0.071002036,0.785969659,0.763160504,0.790430229
50,7667,2431,2072,8528,0.071631543,0.782442748,0.759259259,0.787247151
51,7734,2368,2005,8591,0.070702657,0.788723548,0.765590972,0.794126707
52,7677,2327,2062,8632,0.071005821,0.787950527,0.767393043,0.78827395
53,7729,2388,2010,8571,0.070736989,0.787515702,0.763961649,0.793613307
54,7678,2355,2061,8604,0.071234912,0.786646053,0.765274594,0.78837663
55,7716,2340,2023,8619,0.070443749,0.789206687,0.767303103,0.792278468
56,7761,2327,1978,8632,0.069615535,0.79200889,0.769329897,0.796899066
57,7772,2360,1967,8599,0.069856405,0.790945985,0.767074615,0.798028545
58,7749,2344,1990,8615,0.070334814,0.790607788,0.767759834,0.795666906
59,7761,2309,1978,8650,0.070092052,0.792878539,0.770705065,0.796899066
60,7765,2358,1974,8601,0.069621854,0.790704416,0.767065099,0.797309785
61,7785,2325,1954,8634,0.069599971,0.79326505,0.770029674,0.799363384
62,7783,2284,1956,8675,0.068898246,0.79514929,0.773120095,0.799158024
63,7817,2303,1922,8656,0.068504617,0.795873997,0.77243083,0.802649143
64,7794,2264,1945,8695,0.06797535,0.796647019,0.774905548,0.800287504
65,7807,2252,1932,8707,0.068254143,0.797854865,0.776120887,0.801622343
66,7767,2252,1972,8707,0.068879023,0.795922311,0.775227069,0.797515145
67,7791,2287,1948,8672,0.069439799,0.795390859,0.773070054,0.799979464
68,7807,2317,1932,8642,0.069098406,0.794714465,0.77113789,0.801622343
69,7830,2328,1909,8631,0.069308728,0.795294231,0.770821028,0.803983982
70,7762,2265,1977,8694,0.069499016,0.795052662,0.774109903,0.797001746
71,7722,2333,2017,8626,0.070679694,0.789834767,0.767976131,0.792894548
72,7725,2344,2014,8615,0.070298396,0.789448256,0.767206277,0.793202588
73,7802,2313,1937,8646,0.068566054,0.794666151,0.771329708,0.801108943
74,7827,2239,1912,8720,0.067768954,0.799449222,0.777568051,0.803675942
75,7805,2255,1934,8704,0.067508265,0.797613296,0.77584493,0.801416983
76,7781,2170,1958,8789,0.067980379,0.800560441,0.781931464,0.798952665
77,7770,2194,1969,8765,0.067495473,0.798869456,0.779807306,0.797823185
78,7858,2203,1881,8756,0.066729374,0.80268625,0.781035682,0.80685902
79,7820,2223,1919,8736,0.067531273,0.799884047,0.778651797,0.802957182
80,7885,2234,1854,8725,0.066886052,0.802492994,0.779227196,0.809631379
81,7835,2207,1904,8752,0.067066081,0.801381776,0.780223063,0.804497382
82,7924,2193,1815,8766,0.066200435,0.806358102,0.783236137,0.813635897
83,7814,2149,1925,8810,0.066308342,0.803169388,0.784301917,0.802341103
84,7853,2161,1886,8798,0.066606127,0.804473862,0.784202117,0.806345621
85,7803,2210,1936,8749,0.06739258,0.799690791,0.779286927,0.801211623
86,7848,2201,1891,8758,0.066797383,0.802299739,0.780973231,0.805832221
87,7895,2122,1844,8837,0.066030093,0.808387284,0.788160128,0.810658178
88,7883,2173,1856,8786,0.066785611,0.805343511,0.783910103,0.809426019
89,7867,2168,1872,8791,0.066143274,0.804812059,0.783956153,0.80778314
90,7859,2168,1880,8791,0.066304892,0.804425548,0.783783784,0.8069617
91,7872,2175,1867,8784,0.066099845,0.804715431,0.783517468,0.80829654
92,7861,2154,1878,8805,0.066080704,0.80519857,0.784922616,0.80716706
93,7865,2215,1874,8744,0.066249378,0.802444681,0.780257937,0.80757778
94,7865,2149,1874,8810,0.065762915,0.805633395,0.785400439,0.80757778
95,7914,2130,1825,8829,0.065282367,0.808918736,0.787933094,0.812609097
96,7850,2108,1889,8851,0.065296799,0.806889555,0.788310906,0.806037581
97,7875,2123,1864,8836,0.06522727,0.807372693,0.787657532,0.80860458
98,7858,2143,1881,8816,0.065859921,0.805585081,0.785721428,0.80685902
99,7873,2098,1866,8861,0.065675355,0.808483911,0.78958981,0.80839922
100,7918,2180,1821,8779,0.065760724,0.806696299,0.784115666,0.813019817
-1,1909,672,536,2058,0.077434056,0.766570048,0.7396358,0.780777096
